Name,Team,Salary
Aaron Rodgers,GB,9700
Andrew Luck,IND,9200
Adrian Peterson,MIN,9200
Peyton Manning,DEN,9100
Julio Jones,ATL,9000
Arian Foster,HOU,9000
Jamaal Charles,KC,8900
Drew Brees,NO,8900
Odell Beckham Jr,NYG,8900
Russell Wilson,SEA,8800
Demaryius Thomas,DEN,8800
Matt Forte,CHI,8800
Matt Ryan,ATL,8800
Tony Romo,DAL,8700
Dez Bryant,DAL,8700
Jordy Nelson,GB,8600
Marshawn Lynch,SEA,8600
Jeremy Hill,CIN,8600
Eddie Lacy,GB,8500
DeMarco Murray,PHI,8500
Calvin Johnson,DET,8500
Cam Newton,CAR,8400
Alshon Jeffery,CHI,8400
LeSean McCoy,BUF,8400
CJ Anderson,DEN,8400
Randall Cobb,GB,8400
AJ Green,CIN,8300
Eli Manning,NYG,8300
Mike Evans,TB,8300
Emmanuel Sanders,DEN,8200
Joe Flacco,BAL,8200
Philip Rivers,SD,8100
Ryan Tannehill,MIA,8000
Keenan Allen,SD,7900
Andre Ellington,ARI,7900
Jay Cutler,CHI,7900
Colin Kaepernick,SF,7900
TY Hilton,IND,7800
Mark Ingram,NO,7800
Justin Forsett,BAL,7800
DeAndre Hopkins,HOU,7800
Matthew Stafford,DET,7800
Carson Palmer,ARI,7700
Sammy Watkins,BUF,7600
Jeremy Maclin,KC,7600
Roddy White,ATL,7600
Kelvin Benjamin,CAR,7500
Frank Gore,IND,7500
Sam Bradford,PHI,7500
Brandin Cooks,NO,7400
Brandon Marshall,NYJ,7400
Alfred Morris,WAS,7400
Latavius Murray,OAK,7400
Robert Griffin III,WAS,7300
Lamar Miller,MIA,7300
Carlos Hyde,SF,7300
Tre Mason,STL,7300
Teddy Bridgewater,MIN,7200
Vincent Jackson,TB,7200
Giovani Bernard,CIN,7200
Amari Cooper,OAK,7100
Jonathan Stewart,CAR,7100
Andy Dalton,CIN,7100
Marcus Mariota,TEN,7100
DeSean Jackson,WAS,7100
Melvin Gordon,SD,7100
Golden Tate,DET,7100
TJ Yeldon,JAC,7000
Doug Martin,TB,6900
Jarvis Landry,MIA,6900
Joseph Randle,DAL,6900
Jimmy Graham,SEA,6900
Jameis Winston,TB,6900
Andre Johnson,IND,6900
Jordan Matthews,PHI,6800
Ryan Fitzpatrick,NYJ,6800
Geno Smith,NYJ,6800
Tevin Coleman,ATL,6700
Steve Smith,BAL,6700
Matt Cassel,BUF,6600
Rashad Jennings,NYG,6600
Darren McFadden,DAL,6600
Mark Sanchez,PHI,6600
Alex Smith,KC,6600
Anquan Boldin,SF,6600
Shane Vereen,NYG,6500
Joique Bell,DET,6500
Todd Gurley,STL,6500
Brian Hoyer,HOU,6500
Ryan Mallett,HOU,6500
Devonta Freeman,ATL,6500
Nick Foles,STL,6400
Blake Bortles,JAC,6400
Christopher Ivory,NYJ,6400
EJ Manuel,BUF,6400
Mike Wallace,MIN,6400
CJ Spiller,NO,6300
Josh McCown,CLE,6300
Bishop Sankey,TEN,6300
Derek Carr,OAK,6300
Victor Cruz,NYG,6300
Martellus Bennett,CHI,6200
Fred Jackson,BUF,6200
Charles Sims,TB,6200
Isaiah Crowell,CLE,6100
Doug Baldwin,SEA,6100
Allen Robinson,JAC,6100
Chad Henne,JAC,6100
Michael Floyd,ARI,6100
Torrey Smith,SF,6100
Danny Woodhead,SD,6000
Kirk Cousins,WAS,6000
John Brown,ARI,6000
Knile Davis,KC,6000
Larry Fitzgerald,ARI,6000
Eric Decker,NYJ,6000
Travis Kelce,KC,6000
Ameer Abdullah,DET,5900
Greg Olsen,CAR,5900
Ryan Mathews,PHI,5900
Johnny Manziel,CLE,5900
Malcom Floyd,SD,5900
Kendall Wright,TEN,5800
Duke Johnson,CLE,5800
Brock Osweiler,DEN,5800
Zach Mettenberger,TEN,5800
Alfred Blue,HOU,5800
Denard Robinson,JAC,5800
Jason Witten,DAL,5800
Darren Sproles,PHI,5800
Ryan Nassib,NYG,5700
Brandon Weeden,DAL,5700
Jerick McKinnon,MIN,5700
Montee Ball,DEN,5700
Ladarius Green,SD,5700
Roy Helu,OAK,5600
Charles Johnson,MIN,5600
Percy Harvin,BUF,5600
Branden Oliver,SD,5600
Austin Davis,STL,5600
Michael Crabtree,OAK,5600
Julius Thomas,JAC,5600
Marqise Lee,JAC,5600
Chase Daniel,KC,5600
Blaine Gabbert,SF,5600
Matt Moore,MIA,5600
Stevan Ridley,NYJ,5600
Matt Jones,WAS,5500
Nelson Agholor,PHI,5500
Jimmy Clausen,CHI,5500
Jordan Cameron,MIA,5500
Terrance West,CLE,5500
Cameron Artis-Payne,CAR,5500
Pierre Garcon,WAS,5500
Davante Adams,GB,5500
Andre Williams,NYG,5500
Kevin White,CHI,5500
Damien Williams,MIA,5500
Owen Daniels,DEN,5500
Lorenzo Taliaferro,BAL,5500
Dan Herron,IND,5500
Breshad Perriman,BAL,5500
Marques Colston,NO,5500
Reggie Bush,SF,5500
Matt Schaub,BAL,5500
Ronnie Hillman,DEN,5400
Brian Quick,STL,5400
James Starks,GB,5400
Delanie Walker,TEN,5400
Tarvaris Jackson,SEA,5400
Jay Ajayi,MIA,5400
Javorius Allen,BAL,5400
Terrence Franks,STL,5400
Derek Anderson,CAR,5400
Dwayne Allen,IND,5400
Christian Ponder,OAK,5400
David Cobb,TEN,5400
Dan Orlovsky,DET,5400
Zach Ertz,PHI,5400
Kellen Clemens,SD,5400
Kenny Britt,STL,5400
Drew Stanton,ARI,5400
Kenny Stills,MIA,5400
Dwayne Bowe,CLE,5400
DeVante Parker,MIA,5400
Luke McCown,NO,5400
Cecil Shorts,HOU,5400
Robert Woods,BUF,5400
TJ Yates,ATL,5300
Jermaine Kearse,SEA,5300
Ka'Deem Carey,CHI,5300
Jarius Wright,MIN,5300
Rueben Randle,NYG,5300
Larry Donnell,NYG,5300
Kyle Rudolph,MIN,5300
David Johnson,ARI,5300
Mike Glennon,TB,5300
Scott Tolzien,GB,5300
Matt McGloin,OAK,5300
AJ McCarron,CIN,5300
Shaun Hill,MIN,5300
Vernon Davis,SF,5300
Jaelen Strong,HOU,5300
Terrance Williams,DAL,5300
Michael Dyer,OAK,5300
Jared Cook,STL,5200
Bilal Powell,NYJ,5200
Dexter McCluster,TEN,5200
Tim Tebow,PHI,5200
Josh Hill,NO,5200
Bryce Brown,BUF,5200
Justin Tucker,BAL,5200
Mohamed Sanu,CIN,5200
Andrew Quarless,GB,5200
Kerwynn Williams,ARI,5200
Trent Richardson,OAK,5200
Andre Holmes,OAK,5200
Lucky Whitehead,DAL,5100
Storm Johnson,JAC,5100
Malcome Kennedy,NO,5100
Mychal Rivera,OAK,5100
Dorial Green-Beckham,TEN,5100
Connor Barth,DEN,5100
Coby Fleener,IND,5100
Dennis Pitta,BAL,5100
Shane Wynn,CLE,5100
Rannell Hall,TB,5100
Benny Cunningham,STL,5100
Isaiah Pead,STL,5100
Mason Crosby,GB,5100
Matt Asiata,MIN,5100
Foswhitt Whittaker,CAR,5100
Steven Hauschka,SEA,5100
Bryce Petty,NYJ,5000
Hakeem Nicks,TEN,5000
Jake Waters,JAC,5000
Tom Savage,HOU,5000
Jerry Lovelocke,BAL,5000
Seth Lobato,TB,5000
Stedman Bailey,STL,5000
BJ Daniels,SEA,5000
Louis Murphy,TB,5000
Trevor Siemian,DEN,5000
Charlie Whitehurst,TEN,5000
Mike Tolbert,CAR,5000
Thaddeus Lewis,CLE,5000
Dan Bailey,DAL,5000
Logan Thomas,ARI,5000
Brad Sorensen,SD,5000
RJ Archer,SEA,5000
Jake Heaps,NYJ,5000
Zac Dysert,DEN,5000
Cody Parkey,PHI,5000
Taylor Heinicke,MIN,5000
Jaron Brown,ARI,5000
Cole Stoudt,SD,5000
Sean Renfree,ATL,5000
Anthony Boone,DET,5000
Chandler Harnish,ARI,5000
Alex Tanney,TEN,5000
Cole Beasley,DAL,5000
Bobby Rainey,TB,5000
Kellen Moore,DET,5000
Matt Blanchard,GB,5000
Case Keenum,STL,5000
Lance Dunbar,DAL,5000
Matt Simms,BUF,5000
Chris Thompson,WAS,5000
Adam Vinatieri,IND,5000
Chase Rettig,SD,5000
Cody Fajardo,OAK,5000
Khiry Robinson,NO,5000
Josh Freeman,MIA,5000
Matt Hasselbeck,IND,5000
Miles Austin,PHI,5000
Phillip Sims,ARI,5000
Eddie Royal,CHI,5000
Garrett Grayson,NO,5000
Phil Dawson,SF,5000
Eric Ebron,DET,5000
Bryn Renner,BAL,5000
David Fales,CHI,5000
Stephen Morris,JAC,5000
McLeod Bethel-Thompson,MIA,5000
Troy Niklas,ARI,5000
Matt Bryant,ATL,5000
Matt Barkley,PHI,5000
Tyler Bray,KC,5000
Tyler Eifert,CIN,5000
Zac Stacy,NYJ,5000
Sean Mannion,STL,5000
Ricky Stanzi,NYG,5000
Seattle Seahawks,SEA,5000
Toby Gerhart,JAC,5000
Garrett Gilbert,DET,5000
Joe Webb,CAR,5000
Jameill Showers,DAL,5000
Mike Kafka,MIN,5000
Ty Montgomery,GB,5000
Josh Johnson,CIN,5000
Brett Hundley,GB,5000
Colt McCoy,WAS,5000
Shane Carden,CHI,5000
Jordan Reed,WAS,5000
Jeff Tuel,JAC,5000
Bryan Bennett,IND,5000
Marcel Reece,OAK,5000
Dylan Thompson,SF,5000
Charles Clay,BUF,5000
Aaron Murray,KC,5000
Deontay Greenberry,DAL,5000
Tyrod Taylor,BUF,5000
Hutson Mason,WAS,5000
Dustin Vaughan,DAL,5000
Connor Shaw,CLE,5000
Greg Jennings,MIA,4900
Justin Hardy,ATL,4900
Issac Blakeney,SF,4900
Jordan Todman,CAR,4900
Nick Toon,NO,4900
Riley Cooper,PHI,4900
Jace Amaro,NYJ,4900
Robert Turbin,SEA,4900
Jacob Tamme,ATL,4900
Marcedes Lewis,JAC,4900
Rob Housler,CLE,4900
Cordarrelle Patterson,MIN,4900
Chris Polk,HOU,4900
Jeff Cumberland,NYJ,4900
Richard Rodgers,GB,4900
Cody Latimer,DEN,4900
